run_id,scenario,policy_tag,t_global,healthcare_budget,social_service_budget,sw_id,x,y,target_peh_idx
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,7,4850.0,4930.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,8,4820.0,4920.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,9,4790.0,4910.0,0,2,3,6
